state,puma_description,msa_description,state_puma,state_msa
mi,,,MI-01800,MI-29620
mi,Ingham County (S+E) PUMA,Lansing-E Lansing/MI,MI-01801,MI-29620
mi,Ingham County (NW) PUMA,Lansing-E Lansing/MI,MI-01802,MI-29620
mi,Eaton+Clinton Counties PUMA,Lansing-E Lansing/MI,MI-01900,MI-29620
mi,Calhoun+Barry Counties PUMA,Battle Creek/MI,MI-02000,MI-12980
mi,Calhoun+Barry Counties PUMA,Grand Rapids-Wyoming/MI,MI-02000,MI-24340
mi,,,MI-02100,MI-24340
mi,Kalamazoo County (Outer) PUMA,Kalamazoo-Portage/MI,MI-02101,MI-28020
mi,Kalamazoo County (Central)-Kalamazoo+Portage Cities Area PUMA,Kalamazoo-Portage/MI,MI-02102,MI-28020
mi,,,MI-02200,MI-22420
mi,Van Buren+Cass Counties PUMA,Kalamazoo-Portage/MI,MI-02300,MI-28020
mi,Van Buren+Cass Counties PUMA,S Bend-Mishawaka/IN-MI,MI-02300,MI-43780
mi,,,MI-02301,MI-22420
mi,,,MI-02302,MI-19820
mi,,,MI-02302,MI-22420
mi,Berrien County PUMA,Niles-Benton Harbor/MI,MI-02400,MI-35660
mi,,,MI-02500,MI-25880
mi,,,MI-02501,MI-19820
mi,,,MI-02502,MI-19820
mi,,,MI-02503,MI-19820
mi,,,MI-02504,MI-19820
mi,,,MI-02505,MI-19820
mi,,,MI-02506,MI-19820
mi,,,MI-02507,MI-19820
mi,,,MI-02508,MI-19820
mi,Jackson County PUMA,Jackson/MI,MI-02600,MI-27100
mi,,,MI-02601,MI-28020
mi,,,MI-02602,MI-28020
mi,,,MI-02602,MI-43780
mi,,,MI-02700,MI-12980
mi,,,MI-02700,MI-24340
mi,,,MI-02700,MI-28020
mi,,,MI-02700,MI-43780
mi,Washtenaw County (West/NE+SE) PUMA,Ann Arbor/MI,MI-02701,MI-11460
mi,Washtenaw County (E Central)-Ann Arbor City Area PUMA,Ann Arbor/MI,MI-02702,MI-11460
mi,Washtenaw County (E Central/Outside Ann Arbor City) PUMA,Ann Arbor/MI,MI-02703,MI-11460
mi,Livingston County PUMA,Detroit-Warren-Dearborn/MI,MI-02800,MI-19820
mi,,,MI-02900,MI-27100
mi,Oakland County (W) PUMA,Detroit-Warren-Dearborn/MI,MI-02901,MI-19820
mi,Oakland County (NE) PUMA,Detroit-Warren-Dearborn/MI,MI-02902,MI-19820
mi,Oakland County (E Central)-Troy+Rochester Area PUMA,Detroit-Warren-Dearborn/MI,MI-02903,MI-19820
mi,Oakland County (Central) PUMA,Detroit-Warren-Dearborn/MI,MI-02904,MI-19820
mi,Oakland County (SW) PUMA,Detroit-Warren-Dearborn/MI,MI-02905,MI-19820
mi,Oakland County (Central)-Birmingham+Bloomfield Area PUMA,Detroit-Warren-Dearborn/MI,MI-02906,MI-19820
mi,Oakland County (S Central)-Farmington+Southfield Area PUMA,Detroit-Warren-Dearborn/MI,MI-02907,MI-19820
mi,Oakland County (SE) PUMA,Detroit-Warren-Dearborn/MI,MI-02908,MI-19820
mi,,,MI-03000,MI-27100
mi,Macomb County (N) PUMA,Detroit-Warren-Dearborn/MI,MI-03001,MI-19820
mi,Macomb County (Central) PUMA,Detroit-Warren-Dearborn/MI,MI-03002,MI-19820
mi,Macomb County (SW)-Sterling Heights City PUMA,Detroit-Warren-Dearborn/MI,MI-03003,MI-19820
mi,Macomb County (SE)-Mount Clemens+Fraser Area PUMA,Detroit-Warren-Dearborn/MI,MI-03004,MI-19820
mi,Macomb County (SE)-St Clair Shores/Roseville+Eastpointe Area PUMA,Detroit-Warren-Dearborn/MI,MI-03005,MI-19820
mi,Macomb County (SW)-Warren+Center Line Cities PUMA,Detroit-Warren-Dearborn/MI,MI-03006,MI-19820
mi,St Clair County PUMA,Detroit-Warren-Dearborn/MI,MI-03100,MI-19820
mi,,,MI-03200,MI-11460
mi,Wayne County (NW) PUMA,Detroit-Warren-Dearborn/MI,MI-03201,MI-19820
mi,Wayne County (N Central)-Livonia City+Redford Charter Township PUMA,Detroit-Warren-Dearborn/MI,MI-03202,MI-19820
mi,Wayne County (Central)-Dearborn+Dearborn Heights Cities PUMA,Detroit-Warren-Dearborn/MI,MI-03203,MI-19820
mi,Wayne County (Central)-Westland/Garden City/Inkster+Wayne Cities PUMA,Detroit-Warren-Dearborn/MI,MI-03204,MI-19820
mi,Wayne County (SW) PUMA,Detroit-Warren-Dearborn/MI,MI-03205,MI-19820
mi,Wayne County (SE)-Downriver Area (S) PUMA,Detroit-Warren-Dearborn/MI,MI-03206,MI-19820
mi,Wayne County (SE)-Downriver Area (N) PUMA,Detroit-Warren-Dearborn/MI,MI-03207,MI-19820
mi,Detroit City (NW) PUMA,Detroit-Warren-Dearborn/MI,MI-03208,MI-19820
mi,Detroit City (N Central) PUMA,Detroit-Warren-Dearborn/MI,MI-03209,MI-19820
mi,Detroit City (NE) PUMA,Detroit-Warren-Dearborn/MI,MI-03210,MI-19820
mi,Detroit City (S Central+SE) PUMA,Detroit-Warren-Dearborn/MI,MI-03211,MI-19820
mi,Detroit City (SW) PUMA,Detroit-Warren-Dearborn/MI,MI-03212,MI-19820
mi,Wayne County (NE)-I-94 Corridor PUMA,Detroit-Warren-Dearborn/MI,MI-03213,MI-19820
mi,Monroe County PUMA,Monroe/MI,MI-03300,MI-33780
mi,,,MI-03400,MI-19820
mi,,,MI-03500,MI-19820
mi,,,MI-03500,MI-22420
mi,,,MI-03600,MI-19820
mi,,,MI-03701,MI-19820
mi,,,MI-03702,MI-19820
mi,,,MI-03703,MI-19820
mi,,,MI-03704,MI-19820
mi,,,MI-03705,MI-19820
mi,,,MI-03706,MI-19820
mi,,,MI-03707,MI-19820
mi,,,MI-03708,MI-19820
mi,,,MI-03801,MI-19820
mi,,,MI-03802,MI-19820
mi,,,MI-03803,MI-19820
mi,,,MI-03804,MI-19820
mi,,,MI-03805,MI-19820
mi,,,MI-03806,MI-19820
mi,,,MI-03807,MI-19820
mi,,,MI-03900,MI-19820
mi,,,MI-04000,MI-19820
mi,,,MI-04101,MI-19820
mi,,,MI-04102,MI-19820
mi,,,MI-04103,MI-19820
mi,,,MI-04104,MI-19820
mn,Clay/Polk/Roseau/Pennington/Marshall/Norman/Kittson+Red Lake Counties PUMA,Fargo/ND-MN,MN-00100,MN-22020
mn,Clay/Polk/Roseau/Pennington/Marshall/Norman/Kittson+Red Lake Counties PUMA,Grand Forks/ND-MN,MN-00100,MN-24220
mn,,,MN-00200,MN-22020
mn,,,MN-00200,MN-24220
mn,Itasca/Carlton (S)/Cass+Aitkin Counties-Grand Rapids City PUMA,Duluth/MN-WI,MN-00300,MN-20260
mn,St Louis (N)/Koochiching/Lake+Cook Counties-Hibbing+Cloquet Cities PUMA,Duluth/MN-WI,MN-00400,MN-20260
mn,St Louis County (SE)-Duluth/Hermantown+Proctor Cities PUMA,Duluth/MN-WI,MN-00500,MN-20260
mn,Chisago/Isanti/Pine/Mille Lacs+Kanabec Counties PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-00600,MN-33460
mn,,,MN-00700,MN-33460
mn,,,MN-00700,MN-20260
mn,,,MN-00800,MN-41060
mn,,,MN-00800,MN-33460
mn,,,MN-00800,MN-13900
mn,Stearns County-St Cloud City PUMA,St Cloud/MN,MN-00900,MN-41060
mn,Sherburne+Benton Counties PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01000,MN-33460
mn,Sherburne+Benton Counties PUMA,St Cloud/MN,MN-01000,MN-41060
mn,,,MN-01001,MN-33460
mn,,,MN-01002,MN-33460
mn,,,MN-01100,MN-33460
mn,Anoka County (NW)-Andover/Ramsey/Anoka+E Bethel Cities PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01101,MN-33460
mn,Anoka County (SW)-Coon Rapids/Fridley+Columbia Heights Cities PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01102,MN-33460
mn,Anoka County (E)-Blaine/Lino Lakes+Ham Lake Cities PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01103,MN-33460
mn,Washington County (N)-Oakdale/Forest Lake/Stillwater+Hugo Cities PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01201,MN-33460
mn,Washington County (S)-Woodbury+Cottage Grove Cities PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01202,MN-33460
mn,,,MN-01203,MN-33460
mn,Ramsey County (N)-Shoreview/White Bear Lake+New Brighton Cities PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01301,MN-33460
mn,Ramsey County (Central+Far SE)-Maplewood/Roseville+N St Paul Cities PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01302,MN-33460
mn,Ramsey County (SE)-St Paul City (E) PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01303,MN-33460
mn,Ramsey County (SW)-St Paul City (W) PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01304,MN-33460
mn,Hennepin County (W)-Champlin/Rogers Cities+Lake Minnetonka PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01401,MN-33460
mn,Hennepin County-Plymouth/Maple Grove (W)+Medicine Lake Cities PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01402,MN-33460
mn,Hennepin County-Brooklyn Park/Maple Grove (E)+Osseo Cities PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01403,MN-33460
mn,Hennepin County-Brooklyn Center/Golden Valley/New Hope+Robbinsdale Cities PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01404,MN-33460
mn,Hennepin County-Minneapolis (N)+St Anthony Cities PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01405,MN-33460
mn,Hennepin County-Minneapolis City (SE) PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01406,MN-33460
mn,Hennepin County-Minneapolis City (SW) PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01407,MN-33460
mn,Hennepin County-Edina/St Louis Park+Hopkins Cities PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01408,MN-33460
mn,Hennepin County-Eden Prairie+Minnetonka Cities PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01409,MN-33460
mn,Hennepin County-Bloomington+Richfield Cities PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01410,MN-33460
mn,Dakota County (N)-Eagan/Inver Grove Heights+S St Paul Cities PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01501,MN-33460
mn,Dakota County (S)-Lakeville/Hastings/Rosemount+Farmington Cities PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01502,MN-33460
mn,Dakota County (W)-Burnsville+Apple Valley Cities PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01503,MN-33460
mn,Scott County (E)-Shakopee/Savage+Prior Lake Cities PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01600,MN-33460
mn,,,MN-01601,MN-33460
mn,,,MN-01602,MN-33460
mn,Carver+Scott (W) Counties PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01700,MN-33460
mn,Wright County PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01800,MN-33460
mn,Kandiyohi/McLeod/Meeker/Renville+Sibley Counties PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-01900,MN-33460
mn,,,MN-02000,MN-31860
mn,,,MN-02000,MN-33460
mn,,,MN-02100,MN-33460
mn,,,MN-02100,MN-40340
mn,Blue Earth/Nicollet+Waseca Counties-Mankato City PUMA,Mankato-N Mankato/MN,MN-02200,MN-31860
mn,Rice/Goodhue+Le Sueur Counties PUMA,Minneapolis-St Paul-Bloomington/MN-WI,MN-02300,MN-33460
mn,Mower/Steele/Freeborn+Dodge Counties PUMA,Rochester/MN,MN-02400,MN-40340
mn,Olmsted County-Rochester City PUMA,Rochester/MN,MN-02500,MN-40340
mn,Winona/Wabasha/Fillmore+Houston Counties-Winona City PUMA,La Crosse-Onalaska/WI-MN,MN-02600,MN-29100
mn,Winona/Wabasha/Fillmore+Houston Counties-Winona City PUMA,Rochester/MN,MN-02600,MN-40340
mo,,,MO-00100,MO-41140
mo,,,MO-00100,MO-28140
mo,,,MO-00100,MO-30700
mo,Buchanan/Andrew+DeKalb Counties PUMA,St Joseph/MO-KS,MO-00200,MO-41140
mo,,,MO-00300,MO-41180
mo,Lincoln/Warren/Audrain/Pike+Montgomery Counties PUMA,St Louis/MO-IL,MO-00400,MO-41180
mo,Cole/Callaway/Moniteau+Osage Counties PUMA,Jefferson City/MO,MO-00500,MO-27620
mo,Boone County PUMA,Columbia/MO,MO-00600,MO-17860
mo,,,MO-00700,MO-28140
mo,,,MO-00700,MO-41180
mo,,,MO-00700,MO-27620
mo,,,MO-00700,MO-17860
mo,Johnson/Lafayette/Ray/Clinton+Caldwell Counties PUMA,Kansas City/MO-KS,MO-00800,MO-28140
mo,Clay County (NE) PUMA,Kansas City/MO-KS,MO-00901,MO-28140
mo,Kansas City (N Central)/Gladstone City+N Kansas City PUMA,Kansas City/MO-KS,MO-00902,MO-28140
mo,Platte County PUMA,Kansas City/MO-KS,MO-00903,MO-28140
mo,Jackson County-Kansas City (Central) PUMA,Kansas City/MO-KS,MO-01001,MO-28140
mo,Jackson County (N Central) PUMA,Kansas City/MO-KS,MO-01002,MO-28140
mo,Jackson County (E) PUMA,Kansas City/MO-KS,MO-01003,MO-28140
mo,Jackson County (S Central) PUMA,Kansas City/MO-KS,MO-01004,MO-28140
mo,Jackson County-Kansas City (S) PUMA,Kansas City/MO-KS,MO-01005,MO-28140
mo,Cass+Bates Counties PUMA,Kansas City/MO-KS,MO-01100,MO-28140
mo,,,MO-01200,MO-28140
mo,,,MO-01200,MO-44180
mo,Laclede/Polk/Benton/Dallas+Hickory Counties PUMA,Springfield/MO,MO-01300,MO-44180
mo,,,MO-01400,MO-41180
mo,,,MO-01400,MO-27620
mo,,,MO-01400,MO-44180
mo,,,MO-01500,MO-41180
mo,,,MO-01500,MO-44180
mo,Franklin County PUMA,St Louis/MO-IL,MO-01600,MO-41180
mo,,,MO-01601,MO-41180
mo,,,MO-01602,MO-41180
mo,St Charles County (S) PUMA,St Louis/MO-IL,MO-01701,MO-41180
mo,St Charles County (NW) PUMA,St Louis/MO-IL,MO-01702,MO-41180
mo,St Charles County (NE) PUMA,St Louis/MO-IL,MO-01703,MO-41180
mo,,,MO-01704,MO-41180
mo,,,MO-01705,MO-41180
mo,,,MO-01706,MO-41180
mo,,,MO-01707,MO-41180
mo,,,MO-01708,MO-41180
mo,St Louis County (NE) PUMA,St Louis/MO-IL,MO-01801,MO-41180
mo,St Louis County (NW) PUMA,St Louis/MO-IL,MO-01802,MO-41180
mo,St Louis County (Inner Ring N) PUMA,St Louis/MO-IL,MO-01803,MO-41180
mo,St Louis County (W) PUMA,St Louis/MO-IL,MO-01804,MO-41180
mo,St Louis County (Central) PUMA,St Louis/MO-IL,MO-01805,MO-41180
mo,St Louis County (Central W) PUMA,St Louis/MO-IL,MO-01806,MO-41180
mo,St Louis County (Inner Ring S) PUMA,St Louis/MO-IL,MO-01807,MO-41180
mo,St Louis County (S) PUMA,St Louis/MO-IL,MO-01808,MO-41180
mo,,,MO-01900,MO-41180
mo,St Louis City (N) PUMA,St Louis/MO-IL,MO-01901,MO-41180
mo,St Louis City (S) PUMA,St Louis/MO-IL,MO-01902,MO-41180
mo,,,MO-02000,MO-16020
mo,Jefferson County (N) PUMA,St Louis/MO-IL,MO-02001,MO-41180
mo,Jefferson County (S) PUMA,St Louis/MO-IL,MO-02002,MO-41180
mo,,,MO-02100,MO-27860
mo,,,MO-02100,MO-16020
mo,Cape Girardeau/Scott+Bollinger Counties PUMA,Cape Girardeau/MO-IL,MO-02200,MO-16020
mo,,,MO-02300,MO-44180
mo,,,MO-02300,MO-16020
mo,,,MO-02400,MO-44180
mo,,,MO-02400,MO-22220
mo,,,MO-02400,MO-27860
mo,,,MO-02400,MO-16020
mo,,,MO-02500,MO-44180
mo,,,MO-02600,MO-22220
mo,Christian/Greene (Outside Springfield City)+Webster Counties PUMA,Springfield/MO,MO-02601,MO-44180
mo,Greene County-Springfield City (N) PUMA,Springfield/MO,MO-02602,MO-44180
mo,Greene County-Springfield City (S) PUMA,Springfield/MO,MO-02603,MO-44180
mo,Taney/Barry/Stone+McDonald Counties PUMA,Fayetteville-Springdale-Rogers/AR-MO,MO-02700,MO-22220
mo,Jasper+Newton Counties PUMA,Joplin/MO,MO-02800,MO-27900
ms,N Delta Region-DeSoto County-Southaven City PUMA,Memphis/TN-MS-AR,MS-00100,MS-32820
ms,NE Region-Marshall/Alcorn/Prentiss/Tippah/Tishomingo+Benton Counties PUMA,Memphis/TN-MS-AR,MS-00200,MS-32820
ms,N Delta Region-Panola/Tate/Coahoma/Tallahatchie/Tunica+Quitman Counties PUMA,Memphis/TN-MS-AR,MS-00300,MS-32820
ms,,,MS-00400,MS-32820
ms,,,MS-00400,MS-27140
ms,,,MS-00500,MS-32820
ms,,,MS-00600,MS-27140
ms,,,MS-00700,MS-32820
ms,,,MS-00700,MS-27140
ms,,,MS-00800,MS-17380
ms,,,MS-00800,MS-26940
ms,,,MS-00800,MS-24740
ms,Central Region-Madison+Yazoo Counties PUMA,Jackson/MS,MS-00900,MS-27140
ms,Central Region-Jackson (W+S)+Clinton (S+E) Cities PUMA,Jackson/MS,MS-01000,MS-27140
ms,Central Region-Jackson City (E+Central) PUMA,Jackson/MS,MS-01100,MS-27140
ms,Central Region-Hinds (W)/Warren+Copiah Counties-Vicksburg City PUMA,Jackson/MS,MS-01200,MS-27140
ms,Central Region-Rankin+Simpson Counties PUMA,Jackson/MS,MS-01300,MS-27140
ms,,,MS-01400,MS-27140
ms,,,MS-01500,MS-27140
ms,,,MS-01600,MS-27140
ms,,,MS-01600,MS-29180
ms,,,MS-01600,MS-25060
ms,,,MS-01700,MS-27140
ms,,,MS-01700,MS-25620
ms,S Region-Forrest/Lamar/Marion+Perry Counties-Hattiesburg City PUMA,Hattiesburg/MS,MS-01800,MS-25620
ms,S Region-Pearl River/Hancock/George+Stone Counties PUMA,Gulfport-Biloxi-Pascagoula/MS,MS-01900,MS-25060
ms,S Region-Harrison County-Gulfport+Biloxi Cities PUMA,Gulfport-Biloxi-Pascagoula/MS,MS-02000,MS-25060
ms,S Region-Jackson County PUMA,Gulfport-Biloxi-Pascagoula/MS,MS-02100,MS-25060
ms,,,MS-02200,MS-25060
ms,,,MS-02300,MS-25060
mt,,,MT-00100,MT-33540
mt,W Montana-Missoula City PUMA,Missoula/MT,MT-00200,MT-33540
mt,,,MT-00300,MT-24500
mt,,,MT-00300,MT-13740
mt,,,MT-00300,MT-33540
mt,N Central Montana-Great Falls City PUMA,Great Falls/MT,MT-00400,MT-24500
mt,S Central Montana-Bozeman City PUMA,Billings/MT,MT-00500,MT-13740
mt,E Montana (Outside Billings City) PUMA,Billings/MT,MT-00600,MT-13740
mt,Billings City PUMA,Billings/MT,MT-00700,MT-13740
nc,,,NC-00100,NC-11700
nc,,,NC-00100,NC-28940
nc,,,NC-00100,NC-34100
nc,,,NC-00100,NC-20500
nc,,,NC-00100,NC-39580
nc,,,NC-00200,NC-39580
nc,,,NC-00201,NC-25860
nc,,,NC-00201,NC-11700
nc,,,NC-00202,NC-11700
nc,Rockingham+Stokes Counties PUMA,Greensboro-High Point/NC,NC-00300,NC-24660
nc,Rockingham+Stokes Counties PUMA,Winston-Salem/NC,NC-00300,NC-49180
nc,Granville/Person+Caswell Counties PUMA,Durham-Chapel Hill/NC,NC-00400,NC-20500
nc,Franklin/Vance+Warren (W) Counties PUMA,Raleigh/NC,NC-00500,NC-39580
nc,,,NC-00600,NC-24660
nc,,,NC-00600,NC-49180
nc,,,NC-00600,NC-16740
nc,NE Albemarle Sound Region PUMA,Virginia Beach-Norfolk-Newport News/VA-NC,NC-00700,NC-47260
nc,,,NC-00800,NC-16740
nc,,,NC-00800,NC-49180
nc,,,NC-00800,NC-25860
nc,,,NC-00800,NC-48900
nc,,,NC-00800,NC-34820
nc,Nash+Edgecombe Counties-Rocky Mount City PUMA,Rocky Mount/NC,NC-00900,NC-40580
nc,,,NC-00901,NC-16740
nc,,,NC-00902,NC-16740
nc,,,NC-00903,NC-16740
nc,,,NC-00904,NC-16740
nc,,,NC-00905,NC-16740
nc,,,NC-01000,NC-16740
nc,,,NC-01000,NC-35100
nc,Johnston County PUMA,Raleigh/NC,NC-01100,NC-39580
nc,,,NC-01200,NC-16740
nc,Raleigh City (S+Central) PUMA,Raleigh/NC,NC-01201,NC-39580
nc,Raleigh City (N) PUMA,Raleigh/NC,NC-01202,NC-39580
nc,Wake County (NE)-Raleigh City (NE)/Wake Forest+Rolesville Towns PUMA,Raleigh/NC,NC-01203,NC-39580
nc,Wake County (E)-Raleigh City (E)/Knightdale+Garner (N) Towns PUMA,Raleigh/NC,NC-01204,NC-39580
nc,Wake County (SE)-Garner (S)+Fuquay-Varina Towns PUMA,Raleigh/NC,NC-01205,NC-39580
nc,Wake County (NW)-Raleigh City (NW)+Morrisville Town PUMA,Raleigh/NC,NC-01206,NC-39580
nc,Wake County (W Central)-Cary Town PUMA,Raleigh/NC,NC-01207,NC-39580
nc,Wake County (SW)-Apex+Holly Springs Towns PUMA,Raleigh/NC,NC-01208,NC-39580
nc,,,NC-01300,NC-16740
nc,Durham County (S)-Durham City (S) PUMA,Durham-Chapel Hill/NC,NC-01301,NC-20500
nc,Durham County (N)-Durham City (N) PUMA,Durham-Chapel Hill/NC,NC-01302,NC-20500
nc,Orange County-Chapel Hill Town PUMA,Durham-Chapel Hill/NC,NC-01400,NC-20500
nc,Chatham+Lee Counties PUMA,Durham-Chapel Hill/NC,NC-01500,NC-20500
nc,Alamance County-Burlington City PUMA,Burlington/NC,NC-01600,NC-15500
nc,,,NC-01601,NC-24660
nc,,,NC-01602,NC-24660
nc,,,NC-01700,NC-24660
nc,,,NC-01700,NC-49180
nc,Greensboro City (N) PUMA,Greensboro-High Point/NC,NC-01701,NC-24660
nc,Greensboro City (S) PUMA,Greensboro-High Point/NC,NC-01702,NC-24660
nc,Guilford County (N)-Summerfield Town PUMA,Greensboro-High Point/NC,NC-01703,NC-24660
nc,Guilford County (S)-High Point City PUMA,Greensboro-High Point/NC,NC-01704,NC-24660
nc,,,NC-01800,NC-49180
nc,Winston-Salem City (N) PUMA,Winston-Salem/NC,NC-01801,NC-49180
nc,Winston-Salem City (S) PUMA,Winston-Salem/NC,NC-01802,NC-49180
nc,Forsyth County (Outside Winston-Salem City)-Kernersville Town+Clemmons Village PUMA,Winston-Salem/NC,NC-01803,NC-49180
nc,Davie/Yadkin+Iredell (N) Counties PUMA,Charlotte-Concord-Gastonia/NC-SC,NC-01900,NC-16740
nc,Davie/Yadkin+Iredell (N) Counties PUMA,Winston-Salem/NC,NC-01900,NC-49180
nc,Caldwell+Alexander Counties PUMA,Hickory-Lenoir-Morganton/NC,NC-02000,NC-25860
nc,Burke+McDowell Counties PUMA,Hickory-Lenoir-Morganton/NC,NC-02100,NC-25860
nc,,,NC-02200,NC-49180
nc,Buncombe County (SE)-Asheville City PUMA,Asheville/NC,NC-02201,NC-11700
nc,Buncombe County (NW) PUMA,Asheville/NC,NC-02202,NC-11700
nc,Haywood/Madison/Swain/Graham+Jackson (N) Counties PUMA,Asheville/NC,NC-02300,NC-11700
nc,,,NC-02400,NC-24660
nc,,,NC-02400,NC-49180
nc,,,NC-02400,NC-20500
nc,,,NC-02400,NC-15500
nc,,,NC-02400,NC-42340
nc,Henderson+Transylvania Counties PUMA,Asheville/NC,NC-02500,NC-11700
nc,,,NC-02600,NC-20500
nc,,,NC-02601,NC-39580
nc,,,NC-02602,NC-39580
nc,,,NC-02602,NC-20500
nc,Lincoln+Cleveland (E) Counties PUMA,Charlotte-Concord-Gastonia/NC-SC,NC-02700,NC-16740
nc,,,NC-02701,NC-39580
nc,,,NC-02701,NC-20500
nc,,,NC-02702,NC-39580
nc,,,NC-02702,NC-20500
nc,,,NC-02703,NC-39580
nc,Catawba County-Hickory City PUMA,Hickory-Lenoir-Morganton/NC,NC-02800,NC-25860
nc,,,NC-02801,NC-39580
nc,,,NC-02801,NC-20500
nc,,,NC-02802,NC-39580
nc,,,NC-02802,NC-20500
nc,Iredell (S)-Mooresville Town+Statesville City PUMA,Charlotte-Concord-Gastonia/NC-SC,NC-02900,NC-16740
nc,,,NC-03000,NC-39580
nc,Gaston County (NW)-Mount Holly City PUMA,Charlotte-Concord-Gastonia/NC-SC,NC-03001,NC-16740
nc,Gaston County (SE)-Gastonia+Belmont Cities PUMA,Charlotte-Concord-Gastonia/NC-SC,NC-03002,NC-16740
nc,,,NC-03100,NC-39580
nc,,,NC-03100,NC-20500
nc,Charlotte City (Central) PUMA,Charlotte-Concord-Gastonia/NC-SC,NC-03101,NC-16740
nc,Charlotte City (NW) PUMA,Charlotte-Concord-Gastonia/NC-SC,NC-03102,NC-16740
nc,Charlotte City (NE) PUMA,Charlotte-Concord-Gastonia/NC-SC,NC-03103,NC-16740
nc,Charlotte City (S) PUMA,Charlotte-Concord-Gastonia/NC-SC,NC-03104,NC-16740
nc,Charlotte City (SW) PUMA,Charlotte-Concord-Gastonia/NC-SC,NC-03105,NC-16740
nc,Mecklenburg County (N)-Huntersville/Cornelius+Davidson Towns PUMA,Charlotte-Concord-Gastonia/NC-SC,NC-03106,NC-16740
nc,Mecklenburg County (E)-Mint Hill+Matthews (N) Towns PUMA,Charlotte-Concord-Gastonia/NC-SC,NC-03107,NC-16740
nc,Mecklenburg County (S)-Matthews Town (S) PUMA,Charlotte-Concord-Gastonia/NC-SC,NC-03108,NC-16740
nc,Cabarrus County (W)-Concord/Kannapolis Cities+Harrisburg Town PUMA,Charlotte-Concord-Gastonia/NC-SC,NC-03200,NC-16740
nc,Stanley+Cabarrus (E) Counties PUMA,Charlotte-Concord-Gastonia/NC-SC,NC-03300,NC-16740
nc,Rowan County PUMA,Charlotte-Concord-Gastonia/NC-SC,NC-03400,NC-16740
nc,Davidson County PUMA,Winston-Salem/NC,NC-03500,NC-49180
nc,Randolph County PUMA,Greensboro-High Point/NC,NC-03600,NC-24660
nc,,,NC-03700,NC-22180
nc,,,NC-03700,NC-11700
nc,,,NC-03700,NC-16740
nc,,,NC-03800,NC-22180
nc,,,NC-03900,NC-22180
nc,,,NC-03900,NC-16740
nc,,,NC-03900,NC-24780
nc,,,NC-03900,NC-35100
nc,,,NC-03900,NC-27340
nc,Wayne County PUMA,Goldsboro/NC,NC-04000,NC-24140
nc,Lenoir/Onslow (N)+Jones Counties PUMA,Jacksonville/NC,NC-04100,NC-27340
nc,Lenoir/Onslow (N)+Jones Counties PUMA,New Bern/NC,NC-04100,NC-35100
nc,Pitt County-Greenville City PUMA,Greenville/NC,NC-04200,NC-24780
nc,Craven County PUMA,New Bern/NC,NC-04300,NC-35100
nc,Carteret/Beaufort+Pamlico Counties PUMA,New Bern/NC,NC-04400,NC-35100
nc,Onslow County (S)-Jacksonville City PUMA,Jacksonville/NC,NC-04500,NC-27340
nc,Pender+New Hanover (N) Counties PUMA,Wilmington/NC,NC-04600,NC-48900
nc,New Hanover County (S)-Wilmington City PUMA,Wilmington/NC,NC-04700,NC-48900
nc,Brunswick County PUMA,Myrtle Beach-Conway-N Myrtle Beach/SC-NC,NC-04800,NC-34820
nc,,,NC-04900,NC-27340
nc,,,NC-04900,NC-35100
nc,,,NC-04900,NC-12260
nc,Cumberland County (Central)-Fayetteville City (Central+E) PUMA,Fayetteville/NC,NC-05001,NC-22180
nc,Cumberland County (E)-Hope Mills+Spring Lake Towns PUMA,Fayetteville/NC,NC-05002,NC-22180
